review_id,username,content,rating,review_date
0ca3b1b1-8512-4333-8da7-78ba86888b86,Phal Dara,👍👍,4,2025-07-25 12:45:15
99d1d5ff-6297-4a84-a79e-9ffdecb21959,Phanna A,poor internet 🤡,1,2025-07-24 07:11:41
ba1b5ceb-e7e2-4f12-b4f6-deae12129498,Razy U,ដូចអាចម៍,1,2025-07-24 00:01:59
765f97ba-945b-43ee-ac23-0341fe8712c1,Sopheak Sok,ដូចអាចម៍,5,2025-07-23 07:57:03
71eec25e-cd5a-46ab-9a4b-107bb57bfc26,RW Media,"very slow, take long time to start the app",2,2025-07-23 07:17:02
915c458e-9f90-4794-a048-f65e822ec5e4,Chomrung Ngin,Not good for me,1,2025-07-23 06:31:58
9831f5e8-4d5f-4981-ba24-929f6eca888a,Davuth Gaming and Video,It can't launch,1,2025-07-23 02:41:40
2bd38c2d-578f-4790-990b-a6d110d576fc,Phan Yangki,"Is Smart Company crazy? Why are you so slow to top up your card? The money runs out quickly, but the internet is slow. Is your company crazy?",1,2025-07-22 19:32:33
2474c538-345f-43d7-8cf1-217cace893f9,Sok Jm,I want to give 10 star because it is the best app with best customer service.,5,2025-07-22 00:18:08
2b8dc367-a225-4ec3-a460-ec9ade078082,Kong Pholly,good,5,2025-07-20 10:24:41
c522e3da-09ab-435d-89bf-26e50c4b3de4,ហាក់ ហាក់,I'm in,3,2025-07-18 20:09:00
f2ffb705-7795-40b9-8b29-1b10e9708d97,A Google user,😘,5,2025-07-17 22:36:48
35754e51-0ae7-40a3-a74a-a6f72452e265,Tchay-ri,"terrible service. they increase the top up plan, without notifying their customers...with, of course, non additional benefits. Better when they got internet from Thailand...",1,2025-07-17 11:09:49
07e1b7c8-413c-4d70-a60e-f468b5f6ab82,chheng lay,1$ប្រើបានមួយថ្ងៃ 1.5$ប្រើបានបីថ្ងៃbro ប្រញាប់មានមែនbro,1,2025-07-16 12:21:37
8194ebc0-f393-4b0f-8062-4840c0083e8d,Rtrt On,it so slowly it noobs Internet so 👎 👎 👎 👎 👎 👎 👎 nooobs,1,2025-07-12 12:29:51
db7c29ec-63b1-4a9b-bb5d-f7794eac91ec,Vorng Chiven,please add dark mode feature for the next version. thank you,5,2025-07-11 19:19:55
48f6bd99-91dd-486a-b78c-bb5041f969dd,bunny ven,ជួយផលប្រយោជន៍,5,2025-07-10 14:56:54
18f120e9-340d-40e0-868e-0c731aadfbc4,y dimong,good,4,2025-07-09 07:19:40
e5494770-aff2-4365-84d7-0d85c843959f,Nero Nero,application the company provide,3,2025-07-07 17:21:33
588c58b0-3e56-4f00-bd14-484a8b204927,khem khem168,ok,5,2025-07-04 07:47:06
48da6615-899c-4faf-bdf9-a8509be5d8a4,Long,អត់ល្អ ស៊ីលុយណាស់,1,2025-07-03 12:59:13
e846a352-d7dc-4bf5-afd8-5ac21b46c36c,naro eter,👍👍👍👍👍👍👍👍 I'm,5,2025-07-03 08:05:00
