review_id,username,title,content,rating,review_date
12497975017,HotGarminGarbage,Horrible App,"About as useful as a tooth ache.   Bad design that gives minimal information about your plan, but does have many many adds.  Don’t even try using customer service, they have no idea what that is.",1,2025-04-03T03:20:17-07:00
12392936289,Merlin、,Alipay is not available,Alipay is not available,1,2025-03-07T08:19:28-07:00
12063681897,Professor Clark,App doesn’t work,I click Get Sim and the app says it’s checking but never goes anywhere. I have a iPhone 14 Pro Max so I know I already need an eSIM. So app is pretty much worthless. And you can’t buy service (and eSIM) from their website. This company must be stuck in the Stone Age.,1,2024-12-14T12:18:30-07:00
12045977672,richie571,eSIM compatibility,eSIM compatibility gets stuck . I have an iPhone XS unlocked . It can install esim. App is terrible,1,2024-12-09T20:36:08-07:00
12038469468,iPhone 15 pro1235,Review,"I got stuck at checking compatibility on my iPhone 15 pro,and can not buy e-sim .this app is horrible.",1,2024-12-07T19:52:28-07:00
11976599955,Traveler 768,Doesn’t work,The app hangs on checking compatibility for an eSIM. I have an iPhone 15 pro that is an eSIM only phone. Disappointed,1,2024-11-21T15:11:21-07:00
11801896647,Lester99999,Cut off add on plan,"Hi smart

I can’t cancel EBC add on plan on this app

Many thanks",1,2024-10-05T17:21:35-07:00
11757759411,Niceeternity,很垃圾的手机卡,办理了流量包没多久就无缘无故封了两张手机卡 流量也很贵 真是无语 垃圾,1,2024-09-23T18:55:48-07:00
11660216461,andosguy,Easy to use,Great app! Easy to use and top up,5,2024-08-27T16:02:24-07:00
11550923629,K Stonez,App freezes at times,"The functioning of the app isn't smooth, I find it hard to use.",3,2024-07-29T23:53:34-07:00
11032341509,Hor sakol,H,Not good g,5,2024-03-11T03:11:47-07:00
10699115710,kingdomofwonder.com,Terrible plans,Eat up my money too fast!!!!,1,2023-12-15T16:26:33-07:00
10347386214,greyvlegz,"Slow pathetic 4G speed, Worst network","4g speed test was at a miserable 15 mbps. pathetic company, pathetic network!",2,2023-09-08T09:27:18-07:00
9719464050,Chhay Toch,Always popup stupid message not connect to wifi,what the fun?,1,2023-03-16T07:44:23-07:00
9570633548,lexiddie,OTP Issue,OTP is so slow to receive,1,2023-02-01T02:16:56-07:00
9349537496,Pheakyny,App អន់ បង្កើតឡើងមកហើយ ផ្តាច់សេវាកម្មខ្លួនឯងមិនបានដដែល,App អន់,1,2022-12-01T09:32:46-07:00
8932382623,ណាងតាឡាងតាង,Please help me to activate the app!,I cannot use the app. I type my phone numbers and wait for code messages but it has never been sent to my phone. Please help me to activate the app. Thanks!,1,2022-07-31T19:16:23-07:00
8151245540,Seila Khun,Debit/Credit card Link issue,"After filled Bank card information, where is save or continue button? What I suppose to do next?",3,2021-12-20T12:14:43-07:00
8120939679,thisisverylongname,I can not find esim activation function,"I following tourist on website ，but I can not find esim activation function，why?????

my phone is iphone 13 mini",1,2021-12-11T20:28:54-07:00
8071059693,hoho n,"Weak service, and poor call center, cut money off without real reason","Very poor service, cut money without reasonable",1,2021-11-27T18:36:52-07:00
